"prompt","answer"
"What is the Theology Non Preparatory program?","FACULTY OF THEOLOGY
NON-POST-PREPARATORY ACADEMIC CURRICULUM (Formasyonlu)
Bachelor of Theology

Program Duration: 4 years (8 semesters)
Degree: Bachelor of Theology
Total ECTS for Graduation: Approximately 240

Main website: https://ilahiyat.neu.edu.tr/
Curriculum link: https://ilahiyat.neu.edu.tr/akademik/akademik-programlar/ilahiyat-formasyonlu/dersler/

Legend:
T = Theoretical Hours
U = Practical Hours
C = Credit
ECTS = European Credit Transfer System

Note: This program includes integrated pedagogical formation courses"
"What courses will I take in first year first semester of Theology Non Preparatory?","In the first year first semester of Theology Non Preparatory, you will study:

First Year - First Semester - Compulsory Courses:
YDAR101, Arabic I, T:8, U:0, C:8, ECTS:12
YDEN101, Foreign Language I, T:2, U:0, C:2, ECTS:1
ILH101, Reading the Quran and Tajweed I, T:2, U:0, C:2, ECTS:4
ILH102, Sira, T:2, U:0, C:2, ECTS:4
ILH103, History of Hadith, T:2, U:0, C:2, ECTS:4
ILH104, Islamic Principles of Faith, T:2, U:0, C:2, ECTS:3
TRD121, Turkish Language I, T:2, U:0, C:2, ECTS:1
ATA121, Atatürk's Principles and Revolutionary History I, T:2, U:0, C:2, ECTS:1

Total: T:22, U:0, C:22, ECTS:30"
"List the first year first semester courses for Theology Non Preparatory","In the first year first semester of Theology Non Preparatory, you will study:

First Year - First Semester - Compulsory Courses:
YDAR101, Arabic I, T:8, U:0, C:8, ECTS:12
YDEN101, Foreign Language I, T:2, U:0, C:2, ECTS:1
ILH101, Reading the Quran and Tajweed I, T:2, U:0, C:2, ECTS:4
ILH102, Sira, T:2, U:0, C:2, ECTS:4
ILH103, History of Hadith, T:2, U:0, C:2, ECTS:4
ILH104, Islamic Principles of Faith, T:2, U:0, C:2, ECTS:3
TRD121, Turkish Language I, T:2, U:0, C:2, ECTS:1
ATA121, Atatürk's Principles and Revolutionary History I, T:2, U:0, C:2, ECTS:1

Total: T:22, U:0, C:22, ECTS:30"
"What courses will I take in first year second semester of Theology Non Preparatory?","In the first year second semester of Theology Non Preparatory, you will study:

First Year - Second Semester - Compulsory Courses:
YDAR102, Arabic II, T:6, U:0, C:6, ECTS:9
YDEN102, Foreign Language II, T:2, U:0, C:2, ECTS:1
ILH111, Reading the Quran and Tajweed II, T:2, U:0, C:2, ECTS:4
ILH115, Hadith Methodology, T:2, U:0, C:2, ECTS:4
ILH116, History of Tafsir, T:2, U:0, C:2, ECTS:3
ILH117, Islamic Principles of Worship, T:2, U:0, C:2, ECTS:3
ILH118, Islamic History I, T:2, U:0, C:2, ECTS:4
TRD122, Turkish Language II, T:2, U:0, C:2, ECTS:1
ATA122, Atatürk's Principles and Revolutionary History II, T:2, U:0, C:2, ECTS:1

Total: T:22, U:0, C:22, ECTS:30"
"List the first year second semester courses for Theology Non Preparatory","In the first year second semester of Theology Non Preparatory, you will study:

First Year - Second Semester - Compulsory Courses:
YDAR102, Arabic II, T:6, U:0, C:6, ECTS:9
YDEN102, Foreign Language II, T:2, U:0, C:2, ECTS:1
ILH111, Reading the Quran and Tajweed II, T:2, U:0, C:2, ECTS:4
ILH115, Hadith Methodology, T:2, U:0, C:2, ECTS:4
ILH116, History of Tafsir, T:2, U:0, C:2, ECTS:3
ILH117, Islamic Principles of Worship, T:2, U:0, C:2, ECTS:3
ILH118, Islamic History I, T:2, U:0, C:2, ECTS:4
TRD122, Turkish Language II, T:2, U:0, C:2, ECTS:1
ATA122, Atatürk's Principles and Revolutionary History II, T:2, U:0, C:2, ECTS:1

Total: T:22, U:0, C:22, ECTS:30"
"What career opportunities are available after graduating from Theology Non Preparatory?","Theology (Non-Preparatory) Program Summary:
Degree: Bachelor of Theology (with Pedagogical Formation)
Duration: 4 years (8 semesters)
Total ECTS: Approximately 240
Language of Instruction: Turkish/Arabic
Program Type: Integrated Pedagogical Formation

Key Features:
- Includes Arabic language courses throughout the curriculum
- Integrated pedagogical formation courses (AEF coded)
- Graduation project requirement
- Teaching practice opportunities

Program Focus Areas:
- Arabic Language and Literature
- Quranic Studies and Tajweed
- Hadith Sciences
- Islamic Law and Jurisprudence
- Islamic Theology and Philosophy
- Religious Education
- Islamic History and Civilization

Career Opportunities:
Religious Education Teacher
Imam and Religious Leader
Quran Course Instructor
Religious Affairs Specialist
Religious Counselor
Academic Researcher
Interfaith Dialogue Coordinator
Islamic Content Developer
Community Religious Advisor
Museum Educator for Islamic Arts

Professional Settings:
Ministry of National Education
Ministry of Religious Affairs
Public and Private Schools
Quran Courses and Religious Education Centers
Research Institutions
Islamic Cultural Centers
Media and Publishing
Non-Governmental Organizations"
"What jobs can I get with a Theology Non Preparatory degree?","Theology (Non-Preparatory) Program Summary:
Degree: Bachelor of Theology (with Pedagogical Formation)
Duration: 4 years (8 semesters)
Total ECTS: Approximately 240
Language of Instruction: Turkish/Arabic
Program Type: Integrated Pedagogical Formation

Key Features:
- Includes Arabic language courses throughout the curriculum
- Integrated pedagogical formation courses (AEF coded)
- Graduation project requirement
- Teaching practice opportunities

Program Focus Areas:
- Arabic Language and Literature
- Quranic Studies and Tajweed
- Hadith Sciences
- Islamic Law and Jurisprudence
- Islamic Theology and Philosophy
- Religious Education
- Islamic History and Civilization

Career Opportunities:
Religious Education Teacher
Imam and Religious Leader
Quran Course Instructor
Religious Affairs Specialist
Religious Counselor
Academic Researcher
Interfaith Dialogue Coordinator
Islamic Content Developer
Community Religious Advisor
Museum Educator for Islamic Arts

Professional Settings:
Ministry of National Education
Ministry of Religious Affairs
Public and Private Schools
Quran Courses and Religious Education Centers
Research Institutions
Islamic Cultural Centers
Media and Publishing
Non-Governmental Organizations"
"What can I do after graduating from Theology Non Preparatory?","Theology (Non-Preparatory) Program Summary:
Degree: Bachelor of Theology (with Pedagogical Formation)
Duration: 4 years (8 semesters)
Total ECTS: Approximately 240
Language of Instruction: Turkish/Arabic
Program Type: Integrated Pedagogical Formation

Key Features:
- Includes Arabic language courses throughout the curriculum
- Integrated pedagogical formation courses (AEF coded)
- Graduation project requirement
- Teaching practice opportunities

Program Focus Areas:
- Arabic Language and Literature
- Quranic Studies and Tajweed
- Hadith Sciences
- Islamic Law and Jurisprudence
- Islamic Theology and Philosophy
- Religious Education
- Islamic History and Civilization

Career Opportunities:
Religious Education Teacher
Imam and Religious Leader
Quran Course Instructor
Religious Affairs Specialist
Religious Counselor
Academic Researcher
Interfaith Dialogue Coordinator
Islamic Content Developer
Community Religious Advisor
Museum Educator for Islamic Arts

Professional Settings:
Ministry of National Education
Ministry of Religious Affairs
Public and Private Schools
Quran Courses and Religious Education Centers
Research Institutions
Islamic Cultural Centers
Media and Publishing
Non-Governmental Organizations"
"What elective courses are available in the Theology Non Preparatory program?","The Theology Non Preparatory program offers the following elective courses:

Third Year - Fifth Semester - Compulsory Courses:
ILH301, Reading the Quran and Tajweed V, T:2, U:0, C:2, ECTS:4
ILH302, Systematic Theology I, T:4, U:0, C:4, ECTS:6
ILH305, Sufism I, T:2, U:0, C:2, ECTS:3
ILH306, History of Islamic Civilization, T:2, U:0, C:2, ECTS:3
ILH307, Islamic Legal Procedure II, T:2, U:0, C:2, ECTS:4
ILH308, History of Philosophy, T:2, U:0, C:2, ECTS:3
ILH309, Tafsir II, T:2, U:0, C:2, ECTS:3
ILH Elective Course - 1, T:2, U:0, C:2, ECTS:2
ILH Elective Course - 2, T:2, U:0, C:2, ECTS:2
AEF Elective Course - 3, Variable
AEF Elective Course - 4, Variable
AEF Elective Course - 5, Variable

Total: T:20, U:0, C:20, ECTS:30"
"Tell me about elective courses for Theology Non Preparatory","The Theology Non Preparatory program offers the following elective courses:

Third Year - Fifth Semester - Compulsory Courses:
ILH301, Reading the Quran and Tajweed V, T:2, U:0, C:2, ECTS:4
ILH302, Systematic Theology I, T:4, U:0, C:4, ECTS:6
ILH305, Sufism I, T:2, U:0, C:2, ECTS:3
ILH306, History of Islamic Civilization, T:2, U:0, C:2, ECTS:3
ILH307, Islamic Legal Procedure II, T:2, U:0, C:2, ECTS:4
ILH308, History of Philosophy, T:2, U:0, C:2, ECTS:3
ILH309, Tafsir II, T:2, U:0, C:2, ECTS:3
ILH Elective Course - 1, T:2, U:0, C:2, ECTS:2
ILH Elective Course - 2, T:2, U:0, C:2, ECTS:2
AEF Elective Course - 3, Variable
AEF Elective Course - 4, Variable
AEF Elective Course - 5, Variable

Total: T:20, U:0, C:20, ECTS:30"
"How long is the Theology Non Preparatory program?","FACULTY OF THEOLOGY
NON-POST-PREPARATORY ACADEMIC CURRICULUM (Formasyonlu)
Bachelor of Theology

Program Duration: 4 years (8 semesters)
Degree: Bachelor of Theology
Total ECTS for Graduation: Approximately 240

Main website: https://ilahiyat.neu.edu.tr/
Curriculum link: https://ilahiyat.neu.edu.tr/akademik/akademik-programlar/ilahiyat-formasyonlu/dersler/

Legend:
T = Theoretical Hours
U = Practical Hours
C = Credit
ECTS = European Credit Transfer System

Note: This program includes integrated pedagogical formation courses"
"What is the duration of Theology Non Preparatory studies?","FACULTY OF THEOLOGY
NON-POST-PREPARATORY ACADEMIC CURRICULUM (Formasyonlu)
Bachelor of Theology

Program Duration: 4 years (8 semesters)
Degree: Bachelor of Theology
Total ECTS for Graduation: Approximately 240

Main website: https://ilahiyat.neu.edu.tr/
Curriculum link: https://ilahiyat.neu.edu.tr/akademik/akademik-programlar/ilahiyat-formasyonlu/dersler/

Legend:
T = Theoretical Hours
U = Practical Hours
C = Credit
ECTS = European Credit Transfer System

Note: This program includes integrated pedagogical formation courses"
"What are the focus areas of Theology Non Preparatory?","Theology (Non-Preparatory) Program Summary:
Degree: Bachelor of Theology (with Pedagogical Formation)
Duration: 4 years (8 semesters)
Total ECTS: Approximately 240
Language of Instruction: Turkish/Arabic
Program Type: Integrated Pedagogical Formation

Key Features:
- Includes Arabic language courses throughout the curriculum
- Integrated pedagogical formation courses (AEF coded)
- Graduation project requirement
- Teaching practice opportunities

Program Focus Areas:
- Arabic Language and Literature
- Quranic Studies and Tajweed
- Hadith Sciences
- Islamic Law and Jurisprudence
- Islamic Theology and Philosophy
- Religious Education
- Islamic History and Civilization

Career Opportunities:
Religious Education Teacher
Imam and Religious Leader
Quran Course Instructor
Religious Affairs Specialist
Religious Counselor
Academic Researcher
Interfaith Dialogue Coordinator
Islamic Content Developer
Community Religious Advisor
Museum Educator for Islamic Arts

Professional Settings:
Ministry of National Education
Ministry of Religious Affairs
Public and Private Schools
Quran Courses and Religious Education Centers
Research Institutions
Islamic Cultural Centers
Media and Publishing
Non-Governmental Organizations"
"What specializations does Theology Non Preparatory offer?","Theology (Non-Preparatory) Program Summary:
Degree: Bachelor of Theology (with Pedagogical Formation)
Duration: 4 years (8 semesters)
Total ECTS: Approximately 240
Language of Instruction: Turkish/Arabic
Program Type: Integrated Pedagogical Formation

Key Features:
- Includes Arabic language courses throughout the curriculum
- Integrated pedagogical formation courses (AEF coded)
- Graduation project requirement
- Teaching practice opportunities

Program Focus Areas:
- Arabic Language and Literature
- Quranic Studies and Tajweed
- Hadith Sciences
- Islamic Law and Jurisprudence
- Islamic Theology and Philosophy
- Religious Education
- Islamic History and Civilization

Career Opportunities:
Religious Education Teacher
Imam and Religious Leader
Quran Course Instructor
Religious Affairs Specialist
Religious Counselor
Academic Researcher
Interfaith Dialogue Coordinator
Islamic Content Developer
Community Religious Advisor
Museum Educator for Islamic Arts

Professional Settings:
Ministry of National Education
Ministry of Religious Affairs
Public and Private Schools
Quran Courses and Religious Education Centers
Research Institutions
Islamic Cultural Centers
Media and Publishing
Non-Governmental Organizations"
"Tell me about the Theologypost Preparatory program at Near East University.","FACULTY OF THEOLOGY
POST-PREPARATORY ACADEMIC CURRICULUM
Bachelor of Theology

Program Duration: 4 years (8 semesters)
Degree: Bachelor of Theology
Total ECTS for Graduation: Approximately 240

Main website: https://ilahiyat.neu.edu.tr/
Curriculum link: https://ilahiyat.neu.edu.tr/akademik/akademik-programlar/hazirlik-sonrasi-akademik-mufredat/dersler/

Legend:
T = Theoretical Hours
U = Practical Hours
C = Credit
ECTS = European Credit Transfer System"
"What is the Theologypost Preparatory program?","FACULTY OF THEOLOGY
POST-PREPARATORY ACADEMIC CURRICULUM
Bachelor of Theology

Program Duration: 4 years (8 semesters)
Degree: Bachelor of Theology
Total ECTS for Graduation: Approximately 240

Main website: https://ilahiyat.neu.edu.tr/
Curriculum link: https://ilahiyat.neu.edu.tr/akademik/akademik-programlar/hazirlik-sonrasi-akademik-mufredat/dersler/

Legend:
T = Theoretical Hours
U = Practical Hours
C = Credit
ECTS = European Credit Transfer System"
"What courses will I take in first year first semester of Theologypost Preparatory?","In the first year first semester of Theologypost Preparatory, you will study:

First Year - First Semester - Compulsory Courses:
ADE101, Arabic Language and Literature (Arabic), T:2, U:0, C:2, ECTS:3
YDEN101, Foreign Language I, T:2, U:0, C:2, ECTS:1
ILH101, Reading the Quran and Tajweed I, T:0, U:2, C:2, ECTS:4
ILH112, Sirah (Arabic), T:4, U:0, C:4, ECTS:4
ILH113, History of Hadith (Arabic), T:2, U:0, C:2, ECTS:4
ILH104, Islamic Principles of Faith, T:2, U:0, C:2, ECTS:3
TUR101, Turkish Language I, T:2, U:0, C:2, ECTS:2
AIT101, Atatürk's Principles and Revolutionary History I, T:2, U:0, C:2, ECTS:2
AEF101, Introduction to Educational Sciences, T:3, U:0, C:3, ECTS:4

Total: T:19, U:2, C:21, ECTS:32"
"List the first year first semester courses for Theologypost Preparatory","In the first year first semester of Theologypost Preparatory, you will study:

First Year - First Semester - Compulsory Courses:
ADE101, Arabic Language and Literature (Arabic), T:2, U:0, C:2, ECTS:3
YDEN101, Foreign Language I, T:2, U:0, C:2, ECTS:1
ILH101, Reading the Quran and Tajweed I, T:0, U:2, C:2, ECTS:4
ILH112, Sirah (Arabic), T:4, U:0, C:4, ECTS:4
ILH113, History of Hadith (Arabic), T:2, U:0, C:2, ECTS:4
ILH104, Islamic Principles of Faith, T:2, U:0, C:2, ECTS:3
TUR101, Turkish Language I, T:2, U:0, C:2, ECTS:2
AIT101, Atatürk's Principles and Revolutionary History I, T:2, U:0, C:2, ECTS:2
AEF101, Introduction to Educational Sciences, T:3, U:0, C:3, ECTS:4

Total: T:19, U:2, C:21, ECTS:32"
"What courses will I take in first year second semester of Theologypost Preparatory?","In the first year second semester of Theologypost Preparatory, you will study:

First Year - Second Semester - Compulsory Courses:
ADE102, Arabic Language and Literature (Arabic), T:2, U:0, C:2, ECTS:3
AEF102, Educational Psychology, T:3, U:0, C:3, ECTS:4
YDEN102, Foreign Language II, T:2, U:0, C:2, ECTS:1
ILH111, Reading the Quran and Tajweed II, T:0, U:2, C:2, ECTS:4
ILH115, Hadith Methodology, T:2, U:0, C:2, ECTS:4
ILH126, History of Tafsir (Arabic), T:2, U:0, C:2, ECTS:3
ILH117, Islamic Principles of Worship, T:2, U:0, C:2, ECTS:3
ILH118, Islamic History I, T:2, U:0, C:2, ECTS:4
TUR102, Turkish Language II, T:2, U:0, C:2, ECTS:2
AIT102, Atatürk's Principles and Revolutionary History II, T:2, U:0, C:2, ECTS:2

Total: T:19, U:2, C:21, ECTS:32"
"List the first year second semester courses for Theologypost Preparatory","In the first year second semester of Theologypost Preparatory, you will study:

First Year - Second Semester - Compulsory Courses:
ADE102, Arabic Language and Literature (Arabic), T:2, U:0, C:2, ECTS:3
AEF102, Educational Psychology, T:3, U:0, C:3, ECTS:4
YDEN102, Foreign Language II, T:2, U:0, C:2, ECTS:1
ILH111, Reading the Quran and Tajweed II, T:0, U:2, C:2, ECTS:4
ILH115, Hadith Methodology, T:2, U:0, C:2, ECTS:4
ILH126, History of Tafsir (Arabic), T:2, U:0, C:2, ECTS:3
ILH117, Islamic Principles of Worship, T:2, U:0, C:2, ECTS:3
ILH118, Islamic History I, T:2, U:0, C:2, ECTS:4
TUR102, Turkish Language II, T:2, U:0, C:2, ECTS:2
AIT102, Atatürk's Principles and Revolutionary History II, T:2, U:0, C:2, ECTS:2

Total: T:19, U:2, C:21, ECTS:32"
"What career opportunities are available after graduating from Theologypost Preparatory?","Theology Program Summary:
Degree: Bachelor of Theology
Duration: 4 years (8 semesters)
Total ECTS: Approximately 240
Language of Instruction: Turkish/Arabic

Program Focus Areas:
- Quranic Studies and Tajweed
- Hadith Sciences
- Islamic Law (Fiqh)
- Islamic Theology (Kalam)
- Islamic History and Civilization
- Comparative Religion
- Religious Education
- Sufism and Islamic Spirituality

Core Competencies Developed:
- Advanced Arabic language skills for Islamic texts
- Quran recitation and interpretation
- Hadith analysis and methodology
- Islamic legal reasoning
- Theological discourse
- Religious counseling and guidance
- Teaching methodologies for religious education

Career Opportunities:
Religious Affairs Officer
Imam and Religious Leader
Quran Teacher
Religious Education Instructor
Islamic Studies Researcher
Religious Counselor
Interfaith Dialogue Specialist
Academic in Islamic Studies
Museum Curator for Islamic Arts
Islamic Content Writer
Community Religious Advisor

Professional Settings:
Ministry of Religious Affairs
Educational Institutions
Research Centers
Islamic Cultural Centers
Interfaith Organizations
Publishing Houses
Media and Broadcasting
Non-Profit Organizations"
"What jobs can I get with a Theologypost Preparatory degree?","Theology Program Summary:
Degree: Bachelor of Theology
Duration: 4 years (8 semesters)
Total ECTS: Approximately 240
Language of Instruction: Turkish/Arabic

Program Focus Areas:
- Quranic Studies and Tajweed
- Hadith Sciences
- Islamic Law (Fiqh)
- Islamic Theology (Kalam)
- Islamic History and Civilization
- Comparative Religion
- Religious Education
- Sufism and Islamic Spirituality

Core Competencies Developed:
- Advanced Arabic language skills for Islamic texts
- Quran recitation and interpretation
- Hadith analysis and methodology
- Islamic legal reasoning
- Theological discourse
- Religious counseling and guidance
- Teaching methodologies for religious education

Career Opportunities:
Religious Affairs Officer
Imam and Religious Leader
Quran Teacher
Religious Education Instructor
Islamic Studies Researcher
Religious Counselor
Interfaith Dialogue Specialist
Academic in Islamic Studies
Museum Curator for Islamic Arts
Islamic Content Writer
Community Religious Advisor

Professional Settings:
Ministry of Religious Affairs
Educational Institutions
Research Centers
Islamic Cultural Centers
Interfaith Organizations
Publishing Houses
Media and Broadcasting
Non-Profit Organizations"
"What can I do after graduating from Theologypost Preparatory?","Theology Program Summary:
Degree: Bachelor of Theology
Duration: 4 years (8 semesters)
Total ECTS: Approximately 240
Language of Instruction: Turkish/Arabic

Program Focus Areas:
- Quranic Studies and Tajweed
- Hadith Sciences
- Islamic Law (Fiqh)
- Islamic Theology (Kalam)
- Islamic History and Civilization
- Comparative Religion
- Religious Education
- Sufism and Islamic Spirituality

Core Competencies Developed:
- Advanced Arabic language skills for Islamic texts
- Quran recitation and interpretation
- Hadith analysis and methodology
- Islamic legal reasoning
- Theological discourse
- Religious counseling and guidance
- Teaching methodologies for religious education

Career Opportunities:
Religious Affairs Officer
Imam and Religious Leader
Quran Teacher
Religious Education Instructor
Islamic Studies Researcher
Religious Counselor
Interfaith Dialogue Specialist
Academic in Islamic Studies
Museum Curator for Islamic Arts
Islamic Content Writer
Community Religious Advisor

Professional Settings:
Ministry of Religious Affairs
Educational Institutions
Research Centers
Islamic Cultural Centers
Interfaith Organizations
Publishing Houses
Media and Broadcasting
Non-Profit Organizations"
"What elective courses are available in the Theologypost Preparatory program?","The Theologypost Preparatory program offers the following elective courses:

Third Year - Fifth Semester - Compulsory Courses:
ILH301, Reading the Quran and Tajweed V, T:0, U:2, C:2, ECTS:4
AEF456, Character and Values Education, T:3, U:0, C:3, ECTS:2
AEF212, Instructional Technologies and Material Design, T:3, U:0, C:3, ECTS:3
ILH302, Systematic Theology I, T:4, U:0, C:4, ECTS:6
ILH305, Sufism I, T:2, U:0, C:2, ECTS:3
ILH306, History of Islamic Civilization, T:2, U:0, C:2, ECTS:3
ILH307, Islamic Legal Procedure II, T:2, U:0, C:2, ECTS:4
ILH308, History of Philosophy, T:2, U:0, C:2, ECTS:3
ILH319, Tafsir II (Arabic), T:2, U:0, C:2, ECTS:3
Elective Course - 1, T:2, U:0, C:2, ECTS:2
Elective Course - 2, T:2, U:0, C:2, ECTS:2

Total: T:23, U:2, C:25, ECTS:35"
"Tell me about elective courses for Theologypost Preparatory","The Theologypost Preparatory program offers the following elective courses:

Third Year - Fifth Semester - Compulsory Courses:
ILH301, Reading the Quran and Tajweed V, T:0, U:2, C:2, ECTS:4
AEF456, Character and Values Education, T:3, U:0, C:3, ECTS:2
AEF212, Instructional Technologies and Material Design, T:3, U:0, C:3, ECTS:3
ILH302, Systematic Theology I, T:4, U:0, C:4, ECTS:6
ILH305, Sufism I, T:2, U:0, C:2, ECTS:3
ILH306, History of Islamic Civilization, T:2, U:0, C:2, ECTS:3
ILH307, Islamic Legal Procedure II, T:2, U:0, C:2, ECTS:4
ILH308, History of Philosophy, T:2, U:0, C:2, ECTS:3
ILH319, Tafsir II (Arabic), T:2, U:0, C:2, ECTS:3
Elective Course - 1, T:2, U:0, C:2, ECTS:2
Elective Course - 2, T:2, U:0, C:2, ECTS:2

Total: T:23, U:2, C:25, ECTS:35"
"How long is the Theologypost Preparatory program?","FACULTY OF THEOLOGY
POST-PREPARATORY ACADEMIC CURRICULUM
Bachelor of Theology

Program Duration: 4 years (8 semesters)
Degree: Bachelor of Theology
Total ECTS for Graduation: Approximately 240

Main website: https://ilahiyat.neu.edu.tr/
Curriculum link: https://ilahiyat.neu.edu.tr/akademik/akademik-programlar/hazirlik-sonrasi-akademik-mufredat/dersler/

Legend:
T = Theoretical Hours
U = Practical Hours
C = Credit
ECTS = European Credit Transfer System"
"What is the duration of Theologypost Preparatory studies?","FACULTY OF THEOLOGY
POST-PREPARATORY ACADEMIC CURRICULUM
Bachelor of Theology

Program Duration: 4 years (8 semesters)
Degree: Bachelor of Theology
Total ECTS for Graduation: Approximately 240

Main website: https://ilahiyat.neu.edu.tr/
Curriculum link: https://ilahiyat.neu.edu.tr/akademik/akademik-programlar/hazirlik-sonrasi-akademik-mufredat/dersler/

Legend:
T = Theoretical Hours
U = Practical Hours
C = Credit
ECTS = European Credit Transfer System"
"What are the focus areas of Theologypost Preparatory?","Theology Program Summary:
Degree: Bachelor of Theology
Duration: 4 years (8 semesters)
Total ECTS: Approximately 240
Language of Instruction: Turkish/Arabic

Program Focus Areas:
- Quranic Studies and Tajweed
- Hadith Sciences
- Islamic Law (Fiqh)
- Islamic Theology (Kalam)
- Islamic History and Civilization
- Comparative Religion
- Religious Education
- Sufism and Islamic Spirituality

Core Competencies Developed:
- Advanced Arabic language skills for Islamic texts
- Quran recitation and interpretation
- Hadith analysis and methodology
- Islamic legal reasoning
- Theological discourse
- Religious counseling and guidance
- Teaching methodologies for religious education

Career Opportunities:
Religious Affairs Officer
Imam and Religious Leader
Quran Teacher
Religious Education Instructor
Islamic Studies Researcher
Religious Counselor
Interfaith Dialogue Specialist
Academic in Islamic Studies
Museum Curator for Islamic Arts
Islamic Content Writer
Community Religious Advisor

Professional Settings:
Ministry of Religious Affairs
Educational Institutions
Research Centers
Islamic Cultural Centers
Interfaith Organizations
Publishing Houses
Media and Broadcasting
Non-Profit Organizations"
"What specializations does Theologypost Preparatory offer?","Theology Program Summary:
Degree: Bachelor of Theology
Duration: 4 years (8 semesters)
Total ECTS: Approximately 240
Language of Instruction: Turkish/Arabic

Program Focus Areas:
- Quranic Studies and Tajweed
- Hadith Sciences
- Islamic Law (Fiqh)
- Islamic Theology (Kalam)
- Islamic History and Civilization
- Comparative Religion
- Religious Education
- Sufism and Islamic Spirituality

Core Competencies Developed:
- Advanced Arabic language skills for Islamic texts
- Quran recitation and interpretation
- Hadith analysis and methodology
- Islamic legal reasoning
- Theological discourse
- Religious counseling and guidance
- Teaching methodologies for religious education

Career Opportunities:
Religious Affairs Officer
Imam and Religious Leader
Quran Teacher
Religious Education Instructor
Islamic Studies Researcher
Religious Counselor
Interfaith Dialogue Specialist
Academic in Islamic Studies
Museum Curator for Islamic Arts
Islamic Content Writer
Community Religious Advisor

Professional Settings:
Ministry of Religious Affairs
Educational Institutions
Research Centers
Islamic Cultural Centers
Interfaith Organizations
Publishing Houses
Media and Broadcasting
Non-Profit Organizations"
"Tell me about the Trafficandtransportationengineering program at Near East University.","FACULTY OF CIVIL AND ENVIRONMENTAL ENGINEERING
DEPARTMENT OF TRAFFIC AND TRANSPORTATION ENGINEERING
Bachelor of Science in Traffic and Transportation Engineering

Program Duration: 4 years (8 semesters)
Degree: Bachelor of Science
Total ECTS for Graduation: 240
Total Credits: 158

Main website: https://insaatvecevre.neu.edu.tr/?lang=en
Curriculum link: https://insaatvecevre.neu.edu.tr/wp-content/uploads/sites/136/2023/11/24/TRAFFIC-AND-TRANSPORTATION-ENGINEERING-COURSES.pdf

Legend:
C = Compulsory Course
E = Elective Course
T = Theoretical Hours
P = Practical Hours
C = Credits
E = ECTS Credits"
"What is the Trafficandtransportationengineering program?","FACULTY OF CIVIL AND ENVIRONMENTAL ENGINEERING
DEPARTMENT OF TRAFFIC AND TRANSPORTATION ENGINEERING
Bachelor of Science in Traffic and Transportation Engineering

Program Duration: 4 years (8 semesters)
Degree: Bachelor of Science
Total ECTS for Graduation: 240
Total Credits: 158

Main website: https://insaatvecevre.neu.edu.tr/?lang=en
Curriculum link: https://insaatvecevre.neu.edu.tr/wp-content/uploads/sites/136/2023/11/24/TRAFFIC-AND-TRANSPORTATION-ENGINEERING-COURSES.pdf

Legend:
C = Compulsory Course
E = Elective Course
T = Theoretical Hours
P = Practical Hours
C = Credits
E = ECTS Credits"
"What courses will I take in first year first semester of Trafficandtransportationengineering?","In the first year first semester of Trafficandtransportationengineering, you will study:

First Year - First Semester - Compulsory Courses:
ENG101, English I, C, T:2, P:0, C:3, E:3
MTH101, Calculus I, C, T:3, P:2, C:4, E:5
PHY101, General Physics I, C, T:3, P:2, C:4, E:5
CHM101, General Chemistry I, C, T:3, P:2, C:4, E:5
ECC101, Computer Programming, C, T:2, P:2, C:3, E:4
CAM100, Campus Orientation, C, T:0, P:0, C:0, E:0
YIT101, Turkish Language for International Students I, C, T:2, P:0, C:2, E:2
AIT103, Ataturk's Principles and the History of Turkish Revolution I, C, T:2, P:0, C:2, E:2

Elective Course:
CHC100, Cyprus History and Culture, E, T:1, P:0, C:1, E:1

Total: T:22, P:4, C:23, ECTS:27"
"List the first year first semester courses for Trafficandtransportationengineering","In the first year first semester of Trafficandtransportationengineering, you will study:

First Year - First Semester - Compulsory Courses:
ENG101, English I, C, T:2, P:0, C:3, E:3
MTH101, Calculus I, C, T:3, P:2, C:4, E:5
PHY101, General Physics I, C, T:3, P:2, C:4, E:5
CHM101, General Chemistry I, C, T:3, P:2, C:4, E:5
ECC101, Computer Programming, C, T:2, P:2, C:3, E:4
CAM100, Campus Orientation, C, T:0, P:0, C:0, E:0
YIT101, Turkish Language for International Students I, C, T:2, P:0, C:2, E:2
AIT103, Ataturk's Principles and the History of Turkish Revolution I, C, T:2, P:0, C:2, E:2

Elective Course:
CHC100, Cyprus History and Culture, E, T:1, P:0, C:1, E:1

Total: T:22, P:4, C:23, ECTS:27"
"What courses will I take in first year second semester of Trafficandtransportationengineering?","In the first year second semester of Trafficandtransportationengineering, you will study:

First Year - Second Semester - Compulsory Courses:
ENG102, English II, C, T:3, P:0, C:3, E:3
MTH102, Calculus II, C, T:4, P:0, C:4, E:6
PHY102, General Physics II, C, T:3, P:2, C:4, E:6
GEO102, Geology for Engineering, C, T:3, P:2, C:4, E:6
TD102, Technical Drawing, C, T:2, P:2, C:3, E:4
CAR101, Career Planning, C, T:1, P:0, C:1, E:1
YIT102, Turkish Language for International Students II, C, T:2, P:0, C:2, E:2
AIT104, Ataturk's Principles and the History of Turkish Revolution II, C, T:2, P:0, C:2, E:2

Total: T:20, P:4, C:23, ECTS:30"
