prompt,messages,category
List the second year first semester courses for Managementinformationsystems,"[{""content"": ""List the second year first semester courses for Managementinformationsystems"", ""role"": ""user""}, {""content"": ""In the second year first semester of Managementinformationsystems, you will study:\n\nSecond Year - First Semester Courses (Year Two or 2 First Semester):\nMAN201, COMMUNICATION FOR BUSINESS I, T: 3, P: 0, C: 3, E: 4\nCIS205, FUNDAMENTALS OF PROGRAMMING, T: 2, P: 2, C: 3, E: 4\nMTH261, STATISTICS I, T: 3, P: 0, C: 3, E: 6\nCIS243, ESSENTIAL DATA STRUCTURES AND APPLICATIONS, T: 3, P: 0, C: 3, E: 6\nEAS203, FINANCIAL ACCOUNTING I, T: 3, P: 0, C: 3, E: 6\nAIT101/AIT103, ATATURK'S PRINCIPLES AND HISTORY OF TURKISH REVOLUTION I, T: 2, P: 0, C: 2, E: 2\nCHC100, CYPRUS HISTORY AND CULTURE, T: 2, P: 0, C: 2, E: 2\n\nTotal: T: 18, P: 2, C: 19, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in second year second semester of Managementinformationsystems?,"[{""content"": ""What courses will I take in second year second semester of Managementinformationsystems?"", ""role"": ""user""}, {""content"": ""In the second year second semester of Managementinformationsystems, you will study:\n\nSecond Year - Second Semester Courses (Year Two or 2 Second Semester):\nCIS202, SYSTEM SOFTWARE AND OPERATING ENVIRONMENTS, T: 3, P: 0, C: 3, E: 4\nCIS232, ADVANCED PROGRAMMING TECHNIQUES, T: 2, P: 2, C: 3, E: 6\nMTH262, STATISTICS II, T: 3, P: 0, C: 3, E: 6\nCIS246, DATABASE SYSTEMS FOR INFORMATION MANAGEMENT, T: 2, P: 2, C: 3, E: 6\nCIS242, TECHNICAL ELECTIVE, T: 0, P: 2, C: 3, E: 4\nAIT102/AIT104, ATATURK'S PRINCIPLES AND HISTORY OF TURKISH REVOLUTION II, T: 2, P: 0, C: 2, E: 2\nCAR100, CAREER PLANNING, T: 0, P: 0, C: 0, E: 2\n\nTotal: T: 14, P: 6, C: 17, E: 30"", ""role"": ""assistant""}]",Course Information
List the second year second semester courses for Managementinformationsystems,"[{""content"": ""List the second year second semester courses for Managementinformationsystems"", ""role"": ""user""}, {""content"": ""In the second year second semester of Managementinformationsystems, you will study:\n\nSecond Year - Second Semester Courses (Year Two or 2 Second Semester):\nCIS202, SYSTEM SOFTWARE AND OPERATING ENVIRONMENTS, T: 3, P: 0, C: 3, E: 4\nCIS232, ADVANCED PROGRAMMING TECHNIQUES, T: 2, P: 2, C: 3, E: 6\nMTH262, STATISTICS II, T: 3, P: 0, C: 3, E: 6\nCIS246, DATABASE SYSTEMS FOR INFORMATION MANAGEMENT, T: 2, P: 2, C: 3, E: 6\nCIS242, TECHNICAL ELECTIVE, T: 0, P: 2, C: 3, E: 4\nAIT102/AIT104, ATATURK'S PRINCIPLES AND HISTORY OF TURKISH REVOLUTION II, T: 2, P: 0, C: 2, E: 2\nCAR100, CAREER PLANNING, T: 0, P: 0, C: 0, E: 2\n\nTotal: T: 14, P: 6, C: 17, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year first semester of Managementinformationsystems?,"[{""content"": ""What courses will I take in third year first semester of Managementinformationsystems?"", ""role"": ""user""}, {""content"": ""In the third year first semester of Managementinformationsystems, you will study:\n\nThird Year - First Semester Courses (Year Three or 3 First Semester):\nEAS305, PRINCIPLES OF MARKETING, T: 3, P: 0, C: 3, E: 6\nCIS331, INFORMATION SYSTEMS ANALYSIS AND DESIGN, T: 3, P: 0, C: 3, E: 6\nCIS363, SOFTWARE DESIGN AND IMPLEMENTATION, T: 3, P: 0, C: 3, E: 6\nCIS340, WEB PROGRAMMING TECHNIQUES, T: 2, P: 2, C: 3, E: 6\nCIS386, STRUCTURED QUERY PROGRAMMING, T: 2, P: 2, C: 3, E: 6\n\nTotal: T: 13, P: 4, C: 15, E: 30"", ""role"": ""assistant""}]",Course Information
List the third year first semester courses for Managementinformationsystems,"[{""content"": ""List the third year first semester courses for Managementinformationsystems"", ""role"": ""user""}, {""content"": ""In the third year first semester of Managementinformationsystems, you will study:\n\nThird Year - First Semester Courses (Year Three or 3 First Semester):\nEAS305, PRINCIPLES OF MARKETING, T: 3, P: 0, C: 3, E: 6\nCIS331, INFORMATION SYSTEMS ANALYSIS AND DESIGN, T: 3, P: 0, C: 3, E: 6\nCIS363, SOFTWARE DESIGN AND IMPLEMENTATION, T: 3, P: 0, C: 3, E: 6\nCIS340, WEB PROGRAMMING TECHNIQUES, T: 2, P: 2, C: 3, E: 6\nCIS386, STRUCTURED QUERY PROGRAMMING, T: 2, P: 2, C: 3, E: 6\n\nTotal: T: 13, P: 4, C: 15, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year second semester of Managementinformationsystems?,"[{""content"": ""What courses will I take in third year second semester of Managementinformationsystems?"", ""role"": ""user""}, {""content"": ""In the third year second semester of Managementinformationsystems, you will study:\n\nThird Year - Second Semester Courses (Year Three or 3 Second Semester):\nEAS308, OPERATIONS RESEARCH AND MANAGEMENT, T: 3, P: 0, C: 3, E: 6\nCIS348, E-BUSINESS SYSTEMS, T: 2, P: 2, C: 3, E: 6\nCIS352, APPLICATION DEVELOPMENT WITH ADVANCED PROGRAMMING, T: 2, P: 2, C: 3, E: 6\nCIS342, ETHICAL AND SOCIAL ISSUES IN INFORMATION SYSTEMS, T: 3, P: 0, C: 3, E: 6\nCIS356, INTRODUCTION TO OBJECT-ORIENTED DESIGN, T: 2, P: 2, C: 3, E: 6\n\nTotal: T: 12, P: 6, C: 15, E: 30"", ""role"": ""assistant""}]",Course Information
List the third year second semester courses for Managementinformationsystems,"[{""content"": ""List the third year second semester courses for Managementinformationsystems"", ""role"": ""user""}, {""content"": ""In the third year second semester of Managementinformationsystems, you will study:\n\nThird Year - Second Semester Courses (Year Three or 3 Second Semester):\nEAS308, OPERATIONS RESEARCH AND MANAGEMENT, T: 3, P: 0, C: 3, E: 6\nCIS348, E-BUSINESS SYSTEMS, T: 2, P: 2, C: 3, E: 6\nCIS352, APPLICATION DEVELOPMENT WITH ADVANCED PROGRAMMING, T: 2, P: 2, C: 3, E: 6\nCIS342, ETHICAL AND SOCIAL ISSUES IN INFORMATION SYSTEMS, T: 3, P: 0, C: 3, E: 6\nCIS356, INTRODUCTION TO OBJECT-ORIENTED DESIGN, T: 2, P: 2, C: 3, E: 6\n\nTotal: T: 12, P: 6, C: 15, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in fourth year first semester of Managementinformationsystems?,"[{""content"": ""What courses will I take in fourth year first semester of Managementinformationsystems?"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Managementinformationsystems, you will study:\n\nFourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester):\nCIS468, ADVANCED PROGRAMMING IN APPLICATION FRAMEWORKS, T: 2, P: 2, C: 3, E: 6\nCIS403, GRADUATION PROJECT PROPOSAL, T: 3, P: 0, C: 3, E: 3\nCIS406, SUMMER TRAINING, T: 0, P: 0, C: 0, E: 3\nEAS402, HUMAN RESOURCE MANAGEMENT, T: 3, P: 0, C: 3, E: 6\nTE, TECHNICAL ELECTIVE 1, T: 2, P: 2, C: 3, E: 4\nTE, TECHNICAL ELECTIVE 2, T: 2, P: 2, C: 3, E: 4\nTE, TECHNICAL ELECTIVE 3, T: 2, P: 2, C: 3, E: 4\n\nTotal: T: 14, P: 8, C: 18, E: 30"", ""role"": ""assistant""}]",Course Information
List the fourth year first semester courses for Managementinformationsystems,"[{""content"": ""List the fourth year first semester courses for Managementinformationsystems"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Managementinformationsystems, you will study:\n\nFourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester):\nCIS468, ADVANCED PROGRAMMING IN APPLICATION FRAMEWORKS, T: 2, P: 2, C: 3, E: 6\nCIS403, GRADUATION PROJECT PROPOSAL, T: 3, P: 0, C: 3, E: 3\nCIS406, SUMMER TRAINING, T: 0, P: 0, C: 0, E: 3\nEAS402, HUMAN RESOURCE MANAGEMENT, T: 3, P: 0, C: 3, E: 6\nTE, TECHNICAL ELECTIVE 1, T: 2, P: 2, C: 3, E: 4\nTE, TECHNICAL ELECTIVE 2, T: 2, P: 2, C: 3, E: 4\nTE, TECHNICAL ELECTIVE 3, T: 2, P: 2, C: 3, E: 4\n\nTotal: T: 14, P: 8, C: 18, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in fourth year second semester of Managementinformationsystems?,"[{""content"": ""What courses will I take in fourth year second semester of Managementinformationsystems?"", ""role"": ""user""}, {""content"": ""In the fourth year second semester of Managementinformationsystems, you will study:\n\nFourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester):\nCIS411, MANAGEMENT INFORMATION SYSTEMS, T: 3, P: 0, C: 3, E: 6\nCIS400, GRADUATION PROJECT, T: 3, P: 0, C: 3, E: 6\nTE, TECHNICAL ELECTIVE 4, T: 2, P: 2, C: 3, E: 6\nTE, TECHNICAL ELECTIVE 5, T: 2, P: 2, C: 3, E: 4\nTE, TECHNICAL ELECTIVE 6, T: 2, P: 2, C: 3, E: 4\nTE, TECHNICAL ELECTIVE 7, T: 2, P: 2, C: 3, E: 4\n\nTotal: T: 14, P: 8, C: 18, E: 30"", ""role"": ""assistant""}]",Course Information
List the fourth year second semester courses for Managementinformationsystems,"[{""content"": ""List the fourth year second semester courses for Managementinformationsystems"", ""role"": ""user""}, {""content"": ""In the fourth year second semester of Managementinformationsystems, you will study:\n\nFourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester):\nCIS411, MANAGEMENT INFORMATION SYSTEMS, T: 3, P: 0, C: 3, E: 6\nCIS400, GRADUATION PROJECT, T: 3, P: 0, C: 3, E: 6\nTE, TECHNICAL ELECTIVE 4, T: 2, P: 2, C: 3, E: 6\nTE, TECHNICAL ELECTIVE 5, T: 2, P: 2, C: 3, E: 4\nTE, TECHNICAL ELECTIVE 6, T: 2, P: 2, C: 3, E: 4\nTE, TECHNICAL ELECTIVE 7, T: 2, P: 2, C: 3, E: 4\n\nTotal: T: 14, P: 8, C: 18, E: 30"", ""role"": ""assistant""}]",Curriculum
What career opportunities are available after graduating from Managementinformationsystems?,"[{""content"": ""What career opportunities are available after graduating from Managementinformationsystems?"", ""role"": ""user""}, {""content"": ""Career Opportunities for Management Information Systems Graduates:\nManagement Information Systems Specialist\nBusiness Systems Analyst\nIT Project Manager\nInformation Systems Manager\nDatabase Administrator\nSystems Analyst\nBusiness Intelligence Analyst\nIT Consultant\nERP Specialist\nDigital Transformation Consultant\nE-Business Manager\nData Analyst\nWeb Developer\nApplication Developer\nIT Support Manager"", ""role"": ""assistant""}]",Career Information
What jobs can I get with a Managementinformationsystems degree?,"[{""content"": ""What jobs can I get with a Managementinformationsystems degree?"", ""role"": ""user""}, {""content"": ""Career Opportunities for Management Information Systems Graduates:\nManagement Information Systems Specialist\nBusiness Systems Analyst\nIT Project Manager\nInformation Systems Manager\nDatabase Administrator\nSystems Analyst\nBusiness Intelligence Analyst\nIT Consultant\nERP Specialist\nDigital Transformation Consultant\nE-Business Manager\nData Analyst\nWeb Developer\nApplication Developer\nIT Support Manager"", ""role"": ""assistant""}]",Career Information
What can I do after graduating from Managementinformationsystems?,"[{""content"": ""What can I do after graduating from Managementinformationsystems?"", ""role"": ""user""}, {""content"": ""Career Opportunities for Management Information Systems Graduates:\nManagement Information Systems Specialist\nBusiness Systems Analyst\nIT Project Manager\nInformation Systems Manager\nDatabase Administrator\nSystems Analyst\nBusiness Intelligence Analyst\nIT Consultant\nERP Specialist\nDigital Transformation Consultant\nE-Business Manager\nData Analyst\nWeb Developer\nApplication Developer\nIT Support Manager"", ""role"": ""assistant""}]",Career Information
What elective courses are available in the Managementinformationsystems program?,"[{""content"": ""What elective courses are available in the Managementinformationsystems program?"", ""role"": ""user""}, {""content"": ""The Managementinformationsystems program offers the following elective courses:\n\nDepartment of Management Information Systems\nInformation Systems Engineer (Bachelor's Degree/ first cycle in Bologna System)\nMain website link: https://aif.neu.edu.tr/\nCurriculum link: https://aif.neu.edu.tr/academic/academic-programmes/department-of-computer-information-systems/\n\nT (Theory Hours): The number of hours dedicated to lectures or theoretical learning in the course.\nP (Practice Hours): The number of hours spent on practical work, labs, or hands-on activities.\nC (Credits): The credit value assigned to the course, reflecting its academic weight.\nE (ECTS): European Credit Transfer and Accumulation System, representing the workload and learning outcomes.\n\nCourse Type Legend:\nC = Compulsory Course\nE = Elective Course"", ""role"": ""assistant""}]",Course Information
Tell me about elective courses for Managementinformationsystems,"[{""content"": ""Tell me about elective courses for Managementinformationsystems"", ""role"": ""user""}, {""content"": ""The Managementinformationsystems program offers the following elective courses:\n\nDepartment of Management Information Systems\nInformation Systems Engineer (Bachelor's Degree/ first cycle in Bologna System)\nMain website link: https://aif.neu.edu.tr/\nCurriculum link: https://aif.neu.edu.tr/academic/academic-programmes/department-of-computer-information-systems/\n\nT (Theory Hours): The number of hours dedicated to lectures or theoretical learning in the course.\nP (Practice Hours): The number of hours spent on practical work, labs, or hands-on activities.\nC (Credits): The credit value assigned to the course, reflecting its academic weight.\nE (ECTS): European Credit Transfer and Accumulation System, representing the workload and learning outcomes.\n\nCourse Type Legend:\nC = Compulsory Course\nE = Elective Course"", ""role"": ""assistant""}]",Course Information
How long is the Managementinformationsystems program?,"[{""content"": ""How long is the Managementinformationsystems program?"", ""role"": ""user""}, {""content"": ""Management Information Systems Program Summary:\n- Department: Management Information Systems\n- Degree: Bachelor of Science\n- Total Semesters: 8\n- Total Courses: 51\n- Total Electives: 13\n- Total Credits: 134\n- Elective Percentage: 26%\n- Total ECTS Credits: 240\n- Language of Instruction: English\n\nProgram Focus Areas:\n- Business Management and Economics\n- Information Systems Analysis and Design\n- Software Development and Programming\n- Database Management Systems\n- E-Business and Digital Transformation\n- IT Project Management\n\nKey Features:\n- Combines business management with information technology\n- Focus on practical programming and system development skills\n- Emphasis on business applications of information systems\n- Strong foundation in economics, statistics, and management"", ""role"": ""assistant""}]",Program Information
What is the duration of Managementinformationsystems studies?,"[{""content"": ""What is the duration of Managementinformationsystems studies?"", ""role"": ""user""}, {""content"": ""Management Information Systems Program Summary:\n- Department: Management Information Systems\n- Degree: Bachelor of Science\n- Total Semesters: 8\n- Total Courses: 51\n- Total Electives: 13\n- Total Credits: 134\n- Elective Percentage: 26%\n- Total ECTS Credits: 240\n- Language of Instruction: English\n\nProgram Focus Areas:\n- Business Management and Economics\n- Information Systems Analysis and Design\n- Software Development and Programming\n- Database Management Systems\n- E-Business and Digital Transformation\n- IT Project Management\n\nKey Features:\n- Combines business management with information technology\n- Focus on practical programming and system development skills\n- Emphasis on business applications of information systems\n- Strong foundation in economics, statistics, and management"", ""role"": ""assistant""}]",Program Information
What are the focus areas of Managementinformationsystems?,"[{""content"": ""What are the focus areas of Managementinformationsystems?"", ""role"": ""user""}, {""content"": ""Management Information Systems Program Summary:\n- Department: Management Information Systems\n- Degree: Bachelor of Science\n- Total Semesters: 8\n- Total Courses: 51\n- Total Electives: 13\n- Total Credits: 134\n- Elective Percentage: 26%\n- Total ECTS Credits: 240\n- Language of Instruction: English\n\nProgram Focus Areas:\n- Business Management and Economics\n- Information Systems Analysis and Design\n- Software Development and Programming\n- Database Management Systems\n- E-Business and Digital Transformation\n- IT Project Management\n\nKey Features:\n- Combines business management with information technology\n- Focus on practical programming and system development skills\n- Emphasis on business applications of information systems\n- Strong foundation in economics, statistics, and management"", ""role"": ""assistant""}]",Program Information
What specializations does Managementinformationsystems offer?,"[{""content"": ""What specializations does Managementinformationsystems offer?"", ""role"": ""user""}, {""content"": ""Management Information Systems Program Summary:\n- Department: Management Information Systems\n- Degree: Bachelor of Science\n- Total Semesters: 8\n- Total Courses: 51\n- Total Electives: 13\n- Total Credits: 134\n- Elective Percentage: 26%\n- Total ECTS Credits: 240\n- Language of Instruction: English\n\nProgram Focus Areas:\n- Business Management and Economics\n- Information Systems Analysis and Design\n- Software Development and Programming\n- Database Management Systems\n- E-Business and Digital Transformation\n- IT Project Management\n\nKey Features:\n- Combines business management with information technology\n- Focus on practical programming and system development skills\n- Emphasis on business applications of information systems\n- Strong foundation in economics, statistics, and management"", ""role"": ""assistant""}]",Program Information
Tell me about the Marketing program at Near East University.,"[{""content"": ""Tell me about the Marketing program at Near East University."", ""role"": ""user""}, {""content"": ""FACULTY OF ECONOMICS AND ADMINISTRATIVE SCIENCES\nDEPARTMENT OF MARKETING\nBachelor of Science in Marketing\n\nProgram Duration: 4 years (8 semesters)\nDegree: Bachelor of Science in Marketing\nTotal ECTS for Graduation: 240\n\nMain website: https://iktisat.neu.edu.tr/?lang=en\nCurriculum link: https://iktisat.neu.edu.tr/academic/academic-programmes/department-of-marketing/courses/?lang=en\n\nLegend:\nC = Compulsory Course\nE = Elective Course\nT = Theoretical Hours\nECTS = European Credit Transfer System"", ""role"": ""assistant""}]",Program Information
What is the Marketing program?,"[{""content"": ""What is the Marketing program?"", ""role"": ""user""}, {""content"": ""FACULTY OF ECONOMICS AND ADMINISTRATIVE SCIENCES\nDEPARTMENT OF MARKETING\nBachelor of Science in Marketing\n\nProgram Duration: 4 years (8 semesters)\nDegree: Bachelor of Science in Marketing\nTotal ECTS for Graduation: 240\n\nMain website: https://iktisat.neu.edu.tr/?lang=en\nCurriculum link: https://iktisat.neu.edu.tr/academic/academic-programmes/department-of-marketing/courses/?lang=en\n\nLegend:\nC = Compulsory Course\nE = Elective Course\nT = Theoretical Hours\nECTS = European Credit Transfer System"", ""role"": ""assistant""}]",Program Information
What courses will I take in first year first semester of Marketing?,"[{""content"": ""What courses will I take in first year first semester of Marketing?"", ""role"": ""user""}, {""content"": ""In the first year first semester of Marketing, you will study:\n\nFirst Year - First Semester - Compulsory Courses:\nENG101, English I, C, Credit:3, ECTS:4, Hours:3\nCOM101, Introduction to Computers, C, Credit:3, ECTS:6, Hours:3\nMTH171, Mathematics for Business & Economics I, C, Credit:3, ECTS:6, Hours:3\nEAS101, Principles of Economics I, C, Credit:3, ECTS:6, Hours:3\nEAS103, Introduction to Business, C, Credit:3, ECTS:6, Hours:3\nYIT101/TUR101, Turkish for International Students I/Turkish Language I, C, Credit:2, ECTS:2, Hours:2\n\nTotal: Credit:17, ECTS:30, Hours:17"", ""role"": ""assistant""}]",Course Information
List the first year first semester courses for Marketing,"[{""content"": ""List the first year first semester courses for Marketing"", ""role"": ""user""}, {""content"": ""In the first year first semester of Marketing, you will study:\n\nFirst Year - First Semester - Compulsory Courses:\nENG101, English I, C, Credit:3, ECTS:4, Hours:3\nCOM101, Introduction to Computers, C, Credit:3, ECTS:6, Hours:3\nMTH171, Mathematics for Business & Economics I, C, Credit:3, ECTS:6, Hours:3\nEAS101, Principles of Economics I, C, Credit:3, ECTS:6, Hours:3\nEAS103, Introduction to Business, C, Credit:3, ECTS:6, Hours:3\nYIT101/TUR101, Turkish for International Students I/Turkish Language I, C, Credit:2, ECTS:2, Hours:2\n\nTotal: Credit:17, ECTS:30, Hours:17"", ""role"": ""assistant""}]",Curriculum
What courses will I take in first year second semester of Marketing?,"[{""content"": ""What courses will I take in first year second semester of Marketing?"", ""role"": ""user""}, {""content"": ""In the first year second semester of Marketing, you will study:\n\nFirst Year - Second Semester - Compulsory Courses:\nENG102, English II, C, Credit:3, ECTS:4, Hours:3\nCOM102, Computer Applications, C, Credit:3, ECTS:6, Hours:3\nMTH172, Mathematics for Business & Economics II, C, Credit:3, ECTS:6, Hours:3\nEAS102, Principles of Economics II, C, Credit:3, ECTS:6, Hours:3\nEAS104, Principles of Management, C, Credit:3, ECTS:6, Hours:3\nYIT102/TUR102, Turkish for International Students II/Turkish Language II, C, Credit:2, ECTS:2, Hours:2\n\nTotal: Credit:17, ECTS:30, Hours:17"", ""role"": ""assistant""}]",Course Information
List the first year second semester courses for Marketing,"[{""content"": ""List the first year second semester courses for Marketing"", ""role"": ""user""}, {""content"": ""In the first year second semester of Marketing, you will study:\n\nFirst Year - Second Semester - Compulsory Courses:\nENG102, English II, C, Credit:3, ECTS:4, Hours:3\nCOM102, Computer Applications, C, Credit:3, ECTS:6, Hours:3\nMTH172, Mathematics for Business & Economics II, C, Credit:3, ECTS:6, Hours:3\nEAS102, Principles of Economics II, C, Credit:3, ECTS:6, Hours:3\nEAS104, Principles of Management, C, Credit:3, ECTS:6, Hours:3\nYIT102/TUR102, Turkish for International Students II/Turkish Language II, C, Credit:2, ECTS:2, Hours:2\n\nTotal: Credit:17, ECTS:30, Hours:17"", ""role"": ""assistant""}]",Curriculum
What courses will I take in second year first semester of Marketing?,"[{""content"": ""What courses will I take in second year first semester of Marketing?"", ""role"": ""user""}, {""content"": ""In the second year first semester of Marketing, you will study:\n\nSecond Year - First Semester - Compulsory Courses:\nMAN201, Communication for Business I, C, Credit:3, ECTS:4, Hours:3\nEAS203, Financial Accounting I, C, Credit:3, ECTS:6, Hours:3\nMTH261, Statistics I, C, Credit:3, ECTS:6, Hours:3\nEAS201, Microeconomics, C, Credit:3, ECTS:6, Hours:3\nEAS206, Introduction to Law, C, Credit:3, ECTS:6, Hours:3\nAİT101/103, Atatürk's Principles I/Principles of Atatürk I, C, Credit:2, ECTS:2, Hours:2\n\nTotal: Credit:17, ECTS:30, Hours:17"", ""role"": ""assistant""}]",Course Information
List the second year first semester courses for Marketing,"[{""content"": ""List the second year first semester courses for Marketing"", ""role"": ""user""}, {""content"": ""In the second year first semester of Marketing, you will study:\n\nSecond Year - First Semester - Compulsory Courses:\nMAN201, Communication for Business I, C, Credit:3, ECTS:4, Hours:3\nEAS203, Financial Accounting I, C, Credit:3, ECTS:6, Hours:3\nMTH261, Statistics I, C, Credit:3, ECTS:6, Hours:3\nEAS201, Microeconomics, C, Credit:3, ECTS:6, Hours:3\nEAS206, Introduction to Law, C, Credit:3, ECTS:6, Hours:3\nAİT101/103, Atatürk's Principles I/Principles of Atatürk I, C, Credit:2, ECTS:2, Hours:2\n\nTotal: Credit:17, ECTS:30, Hours:17"", ""role"": ""assistant""}]",Curriculum
What courses will I take in second year second semester of Marketing?,"[{""content"": ""What courses will I take in second year second semester of Marketing?"", ""role"": ""user""}, {""content"": ""In the second year second semester of Marketing, you will study:\n\nSecond Year - Second Semester - Compulsory Courses:\nMAN202, Communication for Business II, C, Credit:3, ECTS:4, Hours:3\nEAS204, Financial Accounting II, C, Credit:3, ECTS:6, Hours:3\nMTH262, Statistics II, C, Credit:3, ECTS:6, Hours:3\nEAS202, Macroeconomics, C, Credit:3, ECTS:6, Hours:3\nEAS207, Business Law, C, Credit:3, ECTS:6, Hours:3\nAİT102/104, Atatürk's Principles II/Principles of Atatürk II, C, Credit:2, ECTS:2, Hours:2\n\nTotal: Credit:17, ECTS:30, Hours:17"", ""role"": ""assistant""}]",Course Information
List the second year second semester courses for Marketing,"[{""content"": ""List the second year second semester courses for Marketing"", ""role"": ""user""}, {""content"": ""In the second year second semester of Marketing, you will study:\n\nSecond Year - Second Semester - Compulsory Courses:\nMAN202, Communication for Business II, C, Credit:3, ECTS:4, Hours:3\nEAS204, Financial Accounting II, C, Credit:3, ECTS:6, Hours:3\nMTH262, Statistics II, C, Credit:3, ECTS:6, Hours:3\nEAS202, Macroeconomics, C, Credit:3, ECTS:6, Hours:3\nEAS207, Business Law, C, Credit:3, ECTS:6, Hours:3\nAİT102/104, Atatürk's Principles II/Principles of Atatürk II, C, Credit:2, ECTS:2, Hours:2\n\nTotal: Credit:17, ECTS:30, Hours:17"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year first semester of Marketing?,"[{""content"": ""What courses will I take in third year first semester of Marketing?"", ""role"": ""user""}, {""content"": ""In the third year first semester of Marketing, you will study:\n\nThird Year - First Semester - Compulsory Courses:\nEAS310, Organizational Behaviour, C, Credit:3, ECTS:6, Hours:3\nEAS305, Principles of Marketing, C, Credit:3, ECTS:6, Hours:3\nEAS303, Managerial Accounting, C, Credit:3, ECTS:6, Hours:3\nEAS301, Business Finance, C, Credit:3, ECTS:6, Hours:3\nEAS306, Money and Banking, C, Credit:3, ECTS:6, Hours:3\n\nTotal: Credit:15, ECTS:30, Hours:15"", ""role"": ""assistant""}]",Course Information
List the third year first semester courses for Marketing,"[{""content"": ""List the third year first semester courses for Marketing"", ""role"": ""user""}, {""content"": ""In the third year first semester of Marketing, you will study:\n\nThird Year - First Semester - Compulsory Courses:\nEAS310, Organizational Behaviour, C, Credit:3, ECTS:6, Hours:3\nEAS305, Principles of Marketing, C, Credit:3, ECTS:6, Hours:3\nEAS303, Managerial Accounting, C, Credit:3, ECTS:6, Hours:3\nEAS301, Business Finance, C, Credit:3, ECTS:6, Hours:3\nEAS306, Money and Banking, C, Credit:3, ECTS:6, Hours:3\n\nTotal: Credit:15, ECTS:30, Hours:15"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year second semester of Marketing?,"[{""content"": ""What courses will I take in third year second semester of Marketing?"", ""role"": ""user""}, {""content"": ""In the third year second semester of Marketing, you will study:\n\nThird Year - Second Semester - Compulsory Courses:\nEAS308, Operations Research and Management, C, Credit:3, ECTS:6, Hours:3\nEAS304, Marketing Management, C, Credit:3, ECTS:6, Hours:3\nEAS307, Research Methods, C, Credit:3, ECTS:6, Hours:3\nEAS302, Financial Management, C, Credit:3, ECTS:6, Hours:3\nSOC100, Sociology, C, Credit:3, ECTS:6, Hours:3\n\nTotal: Credit:15, ECTS:30, Hours:15"", ""role"": ""assistant""}]",Course Information
List the third year second semester courses for Marketing,"[{""content"": ""List the third year second semester courses for Marketing"", ""role"": ""user""}, {""content"": ""In the third year second semester of Marketing, you will study:\n\nThird Year - Second Semester - Compulsory Courses:\nEAS308, Operations Research and Management, C, Credit:3, ECTS:6, Hours:3\nEAS304, Marketing Management, C, Credit:3, ECTS:6, Hours:3\nEAS307, Research Methods, C, Credit:3, ECTS:6, Hours:3\nEAS302, Financial Management, C, Credit:3, ECTS:6, Hours:3\nSOC100, Sociology, C, Credit:3, ECTS:6, Hours:3\n\nTotal: Credit:15, ECTS:30, Hours:15"", ""role"": ""assistant""}]",Curriculum
What courses will I take in fourth year first semester of Marketing?,"[{""content"": ""What courses will I take in fourth year first semester of Marketing?"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Marketing, you will study:\n\nFourth Year - First Semester - Compulsory Courses:\nEAS405, Production Management, C, Credit:3, ECTS:6, Hours:3\nEAS403, Marketing Research, C, Credit:3, ECTS:6, Hours:3\nEAS402, Human Resource Management, C, Credit:3, ECTS:6, Hours:3\nArea Elective, Marketing Elective, E, Credit:3, ECTS:6, Hours:3\nArea Elective, Marketing Elective, E, Credit:3, ECTS:6, Hours:3\n\nTotal: Credit:15, ECTS:30, Hours:15"", ""role"": ""assistant""}]",Course Information
List the fourth year first semester courses for Marketing,"[{""content"": ""List the fourth year first semester courses for Marketing"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Marketing, you will study:\n\nFourth Year - First Semester - Compulsory Courses:\nEAS405, Production Management, C, Credit:3, ECTS:6, Hours:3\nEAS403, Marketing Research, C, Credit:3, ECTS:6, Hours:3\nEAS402, Human Resource Management, C, Credit:3, ECTS:6, Hours:3\nArea Elective, Marketing Elective, E, Credit:3, ECTS:6, Hours:3\nArea Elective, Marketing Elective, E, Credit:3, ECTS:6, Hours:3\n\nTotal: Credit:15, ECTS:30, Hours:15"", ""role"": ""assistant""}]",Curriculum
